venue_slug,filename,role,position,web_path,bytes
palisade-pickleball-club,palisade-pickleball-club-court-san-juan-2.jpg,gallery,1,images/venues/palisade-pickleball-club/palisade-pickleball-club-court-san-juan-2.jpg,202589
palms-country-club,palms-country-club-pickleball-court-muntinlupa-2.jpg,gallery,0,images/venues/palms-country-club/palms-country-club-pickleball-court-muntinlupa-2.jpg,137292
paradiso-verde-sport-center,paradiso-verde-sport-center-pickleball-court-labo.jpg,hero,0,images/venues/paradiso-verde-sport-center/paradiso-verde-sport-center-pickleball-court-labo.jpg,641109
paradiso-verde-sport-center,paradiso-verde-sport-center-pickleball-court-labo-2.jpg,gallery,1,images/venues/paradiso-verde-sport-center/paradiso-verde-sport-center-pickleball-court-labo-2.jpg,1340919
philippine-baptist-theological-seminary-pickleball-baguio,philippine-baptist-theological-seminary-pickleball-baguio-court-baguio-city.jpg,hero,0,images/venues/philippine-baptist-theological-seminary-pickleball-baguio/philippine-baptist-theological-seminary-pickleball-baguio-court-baguio-city.jpg,1196646
philippine-baptist-theological-seminary-pickleball-baguio,philippine-baptist-theological-seminary-pickleball-baguio-court-baguio-city-2.jpg,gallery,1,images/venues/philippine-baptist-theological-seminary-pickleball-baguio/philippine-baptist-theological-seminary-pickleball-baguio-court-baguio-city-2.jpg,1058489
pickle-play,pickle-play-court-cavite.jpg,hero,0,images/venues/pickle-play/pickle-play-court-cavite.jpg,86858
pickle-play,pickle-play-court-cavite-2.jpg,gallery,1,images/venues/pickle-play/pickle-play-court-cavite-2.jpg,134099
pickle-play,pickle-play-court-cavite-3.jpg,gallery,2,images/venues/pickle-play/pickle-play-court-cavite-3.jpg,190473
pickle-play,pickle-play-court-cavite-4.jpg,gallery,3,images/venues/pickle-play/pickle-play-court-cavite-4.jpg,707344
pickleball-camp-timberland-san-mateo,pickleball-camp-timberland-san-mateo-court.jpg,hero,0,images/venues/pickleball-camp-timberland-san-mateo/pickleball-camp-timberland-san-mateo-court.jpg,618996
pickleball-central-ph-pcph-pampanga,pickleball-central-ph-pcph-pampanga-court-angeles.jpg,hero,0,images/venues/pickleball-central-ph-pcph-pampanga/pickleball-central-ph-pcph-pampanga-court-angeles.jpg,636981
pickleball-central-ph-pcph-pampanga,pickleball-central-ph-pcph-pampanga-court-angeles-2.jpg,gallery,1,images/venues/pickleball-central-ph-pcph-pampanga/pickleball-central-ph-pcph-pampanga-court-angeles-2.jpg,511322
pickleball-central-ph-pcph-pampanga,pickleball-central-ph-pcph-pampanga-court-angeles-3.jpg,gallery,2,images/venues/pickleball-central-ph-pcph-pampanga/pickleball-central-ph-pcph-pampanga-court-angeles-3.jpg,67315
